distance,duration,lat,lon
13332,2282,18.502700115499998,73.9276527241
33656,3792,18.5951903,73.7874868
19166,2624,18.5079839664,73.78355104479999
15772,2450,18.500368924900002,73.81391599770001
12483,2177,18.4646543763,73.8344670832
10542,1769,18.5141451267,73.8798983395
14144,2371,18.519031548900003,73.93101084979999
17614,2355,18.5065621531,73.7839258835
18120,2410,18.5078040148,73.7795676291
34409,3712,18.594289273599998,73.7234407291
26637,3190,18.5643678336,73.77844277770001
37051,4649,18.5240761486,73.61856266859999
21046,3468,18.5555322329,73.9651225135
29831,3189,18.5826271756,73.761296086
58219,5288,18.7583482782,73.5770447552
26342,4079,18.5954016,73.8024459
11992,2027,18.52919,73.902142
13070,2145,18.5386651655,73.8856962696
20697,3225,18.5550353,73.8093851
14645,2459,18.515132,73.933117
15444,2424,18.4936743653,73.8144085184
12275,2098,18.4701476942,73.8299442083
10192,1706,18.5172760136,73.879497014
16813,2657,18.5050182388,73.8220390677
15533,2495,18.4955147196,73.8122060895
19916,3100,18.5494110252,73.80432207140001
18131,2423,18.504562946700002,73.788542971
49228,4751,18.7006368217,73.6933094636
27051,3216,18.561299,73.78651
19428,3121,18.569445737,73.95012762399999
20525,3248,18.5643433606,73.81298460069999
34408,3712,18.5942883203,73.72344106439999
14064,2348,18.5191030797,73.9310567826
6414,1204,18.465734990799998,73.8645131886
14475,2500,18.5284797195,73.8428302109
23851,3661,18.6060646464,73.91030050810001
34179,3865,18.5957329,73.7887966
18142,2876,18.5625987795,73.9167381451
28982,3985,18.6418976676,73.7927097827
20772,3308,18.564724,73.807738
31520,3514,18.5924051765,73.74496310949999
11376,2133,18.5042558146,73.9307811856
30196,3661,18.577587,73.784147
7458,1587,18.451955215599998,73.8488863036
31656,3471,18.5863564771,73.7383269891
19997,3115,18.5605142,73.8100284
31307,3547,18.6027838171,73.7648332492
31734,3461,18.586127986199998,73.7366526201
13029,2176,18.5139785344,73.84121350939999
16383,2569,18.499783260799997,73.8140252978
11658,1989,18.4702901607,73.822895363
17865,2778,18.5701401747,73.8782320172
34736,3982,18.593134476099998,73.7987162545
15234,2476,18.500717,73.937079
26968,4059,18.6325568118,73.8033977151
21444,3419,18.565171,73.8008603
6845,1258,18.485329248699998,73.8991626352
22320,3397,18.5980364326,73.9037089795
12569,2211,18.53496661,73.8763551414
32044,3731,18.5989064785,73.7700454518
20395,3196,18.561563909300002,73.8068658113
35482,3886,18.6308316741,73.7776210159
28228,3401,18.5615143269,73.7910689414
25888,3023,18.5518365856,73.7607398629
6112,1250,18.450063507,73.8578254357
18257,2435,18.5126407036,73.7822297215
14672,2352,18.5380796324,73.90008196229999
26362,3881,18.6326368731,73.8032830507
13010,2102,18.4564506434,73.80102194850001
31822,3466,18.5858534154,73.7350493297
13633,2333,18.5201413863,73.84095098819999
14237,2408,18.5098960195,73.8311324269
14057,2309,18.5184930002,73.8441314176
19640,2622,18.5234695837,73.7804681808
14504,2565,18.4968774848,73.9683559164
6067,1112,18.4863998757,73.8882859424
6447,1168,18.478721548699998,73.9015853405
14092,2339,18.5189018395,73.9342325181
19182,2637,18.5073817956,73.7976088375
18290,2448,18.512654056600002,73.7821378559
6315,1253,18.4615753192,73.9204540104
23131,3129,18.4979655271,73.7359998375
30230,4062,18.6554245094,73.7769370526
22133,3522,18.581566,73.817256
16209,2713,18.5293294571,73.8322197273
30376,3389,18.5961857429,73.76259125770001
5863,1065,18.477048278399998,73.89781784270001
32742,3719,18.5986447,73.7745651
24980,3792,18.6004447,73.8037556
14206,2341,18.5193348395,73.9308931679
33354,3681,18.6148950853,73.7653807551
7370,1451,18.4571741625,73.8531858847
5397,994,18.4629443966,73.9115286246
12384,2143,18.4652379344,73.8350541517
17179,2870,18.5505692974,73.9373183995
33260,3613,18.595564499,73.7331503257
33791,3811,18.5943947748,73.7898743525
28925,3336,18.5644460199,73.7770909444
16634,2603,18.5037541008,73.8081978634
18256,2435,18.5126343451,73.7822417915
15927,2486,18.5005317151,73.81309892979999
21280,3286,18.5582415395,73.79246536640001
4730,926,18.463309482,73.9036456123
32742,3719,18.5986447,73.7745651
9530,1748,18.462861711600002,73.8377916813
6342,1263,18.4617934819,73.9205572754
34126,3890,18.5939721341,73.792825453
28142,3195,18.5779891899,73.7706070393
14611,2528,18.528271496600002,73.8412892818
32996,4380,18.672674505,73.8484913483
36328,3956,18.5733927116,73.6952232197
10106,1731,18.5167511299,73.87497045100001
12036,2018,18.5273092174,73.9060800523
38702,4216,18.6561008074,73.7694630772
26340,4078,18.5954036,73.8024689
